fetch_time,page_save_time,page_parse_time,links_score_time,link_count,page_id
1.5728184239999337,0.8163921009999058,0.09722432800003844,0.6596966219999558,158,1
0.9988521770000034,0.6581093229999624,0.06588565200001995,0.6687581720000253,111,2
1.0492067610000504,0.7144046130000561,0.06188757999996142,0.6941180649999978,102,3
1.0654605830000037,0.7478879340000049,0.06364017499993224,0.5681070499999805,104,4
0.549237842000025,0.752712249999945,0.09808964100000139,0.6880159370000456,102,334
0.38315675500007274,0.5513068550000071,0.05083433899994816,0.7701341559999264,93,263
0.6322599689999606,0.777364518000013,0.08645307799997681,0.9721142569999301,104,471
0.5077555230000144,0.6307135670000434,0.056391211999994084,1.003312861999916,97,132
0.38252014600004713,0.5674823689998902,0.062256004000005305,1.0306255130000181,98,7
0.40456287500001054,0.7103967119999197,0.06078404799995951,1.5981724549999399,139,789
0.48995160000004034,0.7315068120000205,0.05798679599990919,1.414151435000008,139,787
0.5391180169999643,0.6780630359999122,0.05399578800006566,1.298070818000042,137,791
0.45289913600004184,0.6633688949999623,0.05683942500002104,1.2796004169999833,139,793
0.6906847630000357,0.7519931670000233,0.05330092400004105,1.004529758999979,96,1247
0.4855749649999552,0.7216125780000766,0.09930668300000889,1.1508677499999749,96,1317
0.32793581299995367,0.6276902879999398,0.04819157500003257,1.0951551959999506,98,1303
0.29928807699991467,0.16668612299997676,0.029601758000012524,0.9405013329999292,68,1276
0.3347680819999823,0.6915864589999501,0.05302152600006593,1.1761140340000793,97,1532
0.43313288299998476,0.6322322929999018,0.05154165599992666,1.1875092340000037,97,1530
0.4448051910000004,0.6738170940000145,0.05669093500000599,1.671233298000061,133,1641
0.4960272010000608,0.8411771510000108,0.07001276000005419,1.4701864219999834,137,1923
0.43306331299993417,0.6554021729999704,0.0546621140000525,1.5200567899998987,138,794
0.4028114299999288,0.7789981670000543,0.06289465899999414,1.5033132039999373,137,1925
0.392757015999905,0.5960530730000073,0.1866910400000279,1.1384694649999574,93,1282
0.6790926969999873,0.6806105850000677,0.08238755100001072,1.3439762900000005,106,1486
0.490035765000016,0.5746636579999631,0.05886565100001917,1.1533572110000705,93,2479
0.3871718109999165,0.6697583499999382,0.1796501860000035,1.6670027610000488,140,2804
0.5045111179999822,0.7192417840000189,0.053829099000040515,1.556503121999981,135,2823
0.524114657000041,0.6523149449999437,0.05200721699998212,1.3050670379999474,102,1521
0.3492899180000677,0.6762395499999911,0.058768205999967904,1.5933581409999533,140,2821
0.43541084299999966,0.7812017390000392,0.053247894999913115,1.239852386999928,96,3245
0.3710887649999677,0.639671069999963,0.05166838499997084,1.3228450550000161,103,3317
0.427132486000005,0.6411942769999541,0.051953556999933426,1.2235727039999347,97,2018
0.470093084000041,0.6602019759999394,0.05164822599999752,1.2058119170000055,96,806
0.3605248540000048,0.7636476590000711,0.05317547200002082,1.2905580420000433,97,1257
0.33697041599998556,0.6537676950000559,0.05568119499992008,1.4137567940000508,100,3321
0.4804217299999891,0.7474179210000784,0.049178219000054924,1.2897807879999164,99,3314
0.5793952819999504,0.655823838999936,0.05504488000008223,1.6001793479999833,139,1624
0.388850208000008,0.8206535170000961,0.054869055000040134,1.5992316819999814,139,2720
0.3875744569999142,0.6620811789999834,0.05069579100006649,1.1968821699999808,96,3254
0.37817217899998923,0.6393766259999438,0.05421239700001479,1.624940471000059,139,3975
0.3659945100000641,0.652747235999982,0.048254520999989836,1.2893635340000174,100,1286
0.4109853639999983,0.8617521910000505,0.10202564599990183,1.3774810250000655,97,4599
0.4795519220000415,0.6914433660000441,0.05537519000006341,1.2285669750000352,96,4608
0.47759416999997484,0.5576325690000203,0.187233959000082,1.169139696000002,92,1468
0.4456242999999631,0.6493602689999989,0.05652843200005009,1.5891892060001283,138,4118
0.35663907799994377,0.8829623020001236,0.05259856599991508,1.4339657880000232,104,1594
0.6425305620000472,0.7569648860001053,0.050262191999991046,1.2222612489999847,93,1555
0.4826845279999361,0.8747416900000644,0.18753804199991464,1.2509779949998574,98,1150
0.5475690870000562,0.8446801649999998,0.04922258100009458,1.3101184990000547,100,1342
0.4171124649999456,0.8135113040000306,0.05340660499996375,1.2656483990001561,97,5332
0.5535670340000252,0.9984368709999671,0.05086909999999989,1.2768612120000853,101,2019
0.562200913000197,0.892555406999918,0.05667270100002497,1.7754265759999726,137,1797
0.45589564700003393,0.8896372389999669,0.09493588300006195,1.2416917680000097,96,5706
0.3573107339998387,0.8142518070001188,0.053849680999974225,1.3073568499999055,99,1592
0.4856323680000969,0.8086169209998388,0.051495504000058645,1.284647479999876,99,3331
0.35597650899990185,1.0192139630000838,0.05746665599986045,1.6441349209999316,140,1786
0.41966884099997515,0.889792314000033,0.12969012700000349,1.204598046000001,95,1292
0.42658178400006364,0.7902852040001562,0.05292644799988011,1.5486396950000199,134,3600
0.3589278470001318,0.6156203539999296,0.0480622879999828,1.2137988049998967,96,1264
0.3658968009999626,0.6533136259999992,0.05310947499992835,1.3101993620000485,104,1516
0.5894206650000342,0.8233660849998614,0.059886443999857875,1.3710153690001334,101,3694
0.4939590379999572,0.7155763910000132,0.06599897699993562,1.320983447999879,102,6557
0.3814122280000447,0.6192512699999497,0.05245572700005141,1.2149828250001065,99,6552
0.37456291900002725,0.6333992620000117,0.054918384999837144,1.5260991200000262,138,6659
0.43566231800014066,1.0038952360000621,0.1494490869999936,1.388404821999984,103,6961
0.5239598670000305,0.6789563229999658,0.17887815999984014,1.279970456000001,98,6964
0.4164708820001124,0.6903914259999056,0.05766678200006936,1.568212456999845,135,3790
0.4384537129999444,0.6796576399999594,0.05914767100011886,1.5745596490000935,137,3983
0.3377004989999932,0.6561725700000807,0.05118833699998504,1.2253621889999522,98,1571
0.4180610150001485,0.8561409499998263,0.09196990100008406,1.2071455430000242,97,6091
0.4215247930001169,0.6543262469999718,0.04960001399990688,1.2038941410000916,96,7657
0.4254298440000639,0.619263852000131,0.04799135999996906,1.171822839000015,93,7661
0.4198226099999829,0.6267639390000568,0.19650698300006297,1.2239200380001876,96,7655
0.5848823900000752,0.7585536579999825,0.11125933500011342,1.2640829889999168,98,7675
0.2972445150001022,0.627353297000127,0.049909933999970235,1.2807290329999432,97,7681
0.33857359299986456,0.616725955999982,0.0494008999999096,1.19407798799989,94,4129
0.42255412099984824,0.7879988139998204,0.05332121000014922,1.6944952520000243,139,7379
0.4350029090001044,0.6356763500000397,0.05256843500001196,1.3329200739999578,102,1528
0.48124195199989117,0.6366498560000764,0.04862060499999643,1.192577042000039,95,1603
0.3245885769999859,0.16914674300005572,0.028541167999946992,0.9232030519999626,68,4583
0.4078572640000857,0.6082134810001207,0.05001901400009956,1.1646459290000166,92,6511
0.46633284199992886,0.7791177349999998,0.05954285899997558,1.5738262410000061,135,835
0.3622919470001307,0.5619621890000417,0.05267262799998207,1.1407982460000312,93,1326
0.49126691500009656,0.7208166969999183,0.04979280399993513,1.304098182999951,101,1499
0.5533512800000153,0.69976085899998,0.21167773700017278,1.6767524890001368,137,9043
0.5035297910001191,0.7410539689999496,0.2262120180000693,1.2943247939999765,101,1359
0.5864740490001168,0.6669178130000546,0.055357129999947574,1.7185863740000968,134,6502
0.4259652920000008,0.548266367999986,0.05663093799989838,1.1311392919999435,95,9467
0.4188423809998767,0.5681969569998273,0.051321766000000935,1.1542329100000188,91,9413
0.4287549900000158,0.8160070290000476,0.2684426949999761,1.3601206280000042,104,6747
0.46404242399989926,0.6226098439999532,0.05225186200004828,1.203816550000056,95,9341
0.3400765090000277,0.5726745310000751,0.06038035300002775,1.165849750999996,93,9855
0.5019601970000167,0.6796437230000265,0.20023147099982452,1.6089150530001461,137,9928
0.3710278549999657,0.6453744230000211,0.048321007000140526,1.374090724000098,102,9548
